"Notes"	"Census Division"	"Census Division Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 6: East South Central"	"CENS-D6"	"25-29 years"	"25-29"	"Dec., 2017"	"2017/12"	37	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jan., 2014"	"2014/01"	26	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Feb., 2014"	"2014/02"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Mar., 2014"	"2014/03"	22	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Apr., 2014"	"2014/04"	21	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"May, 2014"	"2014/05"	25	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jul., 2014"	"2014/07"	17	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Aug., 2014"	"2014/08"	18	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Sep., 2014"	"2014/09"	16	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Oct., 2014"	"2014/10"	37	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Nov., 2014"	"2014/11"	35	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Dec., 2014"	"2014/12"	32	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jan., 2015"	"2015/01"	26	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Feb., 2015"	"2015/02"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Mar., 2015"	"2015/03"	40	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Apr., 2015"	"2015/04"	23	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"May, 2015"	"2015/05"	25	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jun., 2015"	"2015/06"	22	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jul., 2015"	"2015/07"	26	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Aug., 2015"	"2015/08"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Sep., 2015"	"2015/09"	24	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Oct., 2015"	"2015/10"	21	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Nov., 2015"	"2015/11"	30	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Dec., 2015"	"2015/12"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jan., 2016"	"2016/01"	33	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Feb., 2016"	"2016/02"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Mar., 2016"	"2016/03"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Apr., 2016"	"2016/04"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"May, 2016"	"2016/05"	26	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jun., 2016"	"2016/06"	33	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jul., 2016"	"2016/07"	40	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Aug., 2016"	"2016/08"	33	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Sep., 2016"	"2016/09"	32	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Oct., 2016"	"2016/10"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Nov., 2016"	"2016/11"	33	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Dec., 2016"	"2016/12"	37	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jan., 2017"	"2017/01"	51	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Feb., 2017"	"2017/02"	33	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Mar., 2017"	"2017/03"	44	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Apr., 2017"	"2017/04"	39	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"May, 2017"	"2017/05"	37	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jun., 2017"	"2017/06"	45	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Jul., 2017"	"2017/07"	37	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Aug., 2017"	"2017/08"	35	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Sep., 2017"	"2017/09"	36	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Oct., 2017"	"2017/10"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Nov., 2017"	"2017/11"	47	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"30-34 years"	"30-34"	"Dec., 2017"	"2017/12"	46	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jan., 2014"	"2014/01"	20	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Feb., 2014"	"2014/02"	18	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Mar., 2014"	"2014/03"	18	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Apr., 2014"	"2014/04"	22	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"May, 2014"	"2014/05"	21	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jun., 2014"	"2014/06"	22	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jul., 2014"	"2014/07"	24	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Aug., 2014"	"2014/08"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Sep., 2014"	"2014/09"	22	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Oct., 2014"	"2014/10"	30	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Nov., 2014"	"2014/11"	20	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Dec., 2014"	"2014/12"	22	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jan., 2015"	"2015/01"	26	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Feb., 2015"	"2015/02"	25	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Mar., 2015"	"2015/03"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Apr., 2015"	"2015/04"	24	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"May, 2015"	"2015/05"	25	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jun., 2015"	"2015/06"	20	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jul., 2015"	"2015/07"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Aug., 2015"	"2015/08"	25	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Sep., 2015"	"2015/09"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Oct., 2015"	"2015/10"	37	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Nov., 2015"	"2015/11"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Dec., 2015"	"2015/12"	34	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jan., 2016"	"2016/01"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Feb., 2016"	"2016/02"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Mar., 2016"	"2016/03"	38	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Apr., 2016"	"2016/04"	30	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"May, 2016"	"2016/05"	30	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jun., 2016"	"2016/06"	40	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jul., 2016"	"2016/07"	24	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Aug., 2016"	"2016/08"	42	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Sep., 2016"	"2016/09"	38	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Oct., 2016"	"2016/10"	38	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Nov., 2016"	"2016/11"	36	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Dec., 2016"	"2016/12"	47	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jan., 2017"	"2017/01"	39	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Feb., 2017"	"2017/02"	45	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Mar., 2017"	"2017/03"	55	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Apr., 2017"	"2017/04"	42	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"May, 2017"	"2017/05"	33	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jun., 2017"	"2017/06"	25	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Jul., 2017"	"2017/07"	42	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Aug., 2017"	"2017/08"	33	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Sep., 2017"	"2017/09"	41	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Oct., 2017"	"2017/10"	47	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Nov., 2017"	"2017/11"	45	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"35-39 years"	"35-39"	"Dec., 2017"	"2017/12"	62	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jan., 2014"	"2014/01"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Feb., 2014"	"2014/02"	21	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Mar., 2014"	"2014/03"	24	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Apr., 2014"	"2014/04"	11	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"May, 2014"	"2014/05"	22	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jun., 2014"	"2014/06"	18	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jul., 2014"	"2014/07"	19	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Aug., 2014"	"2014/08"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Sep., 2014"	"2014/09"	18	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Oct., 2014"	"2014/10"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Nov., 2014"	"2014/11"	19	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Dec., 2014"	"2014/12"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jan., 2015"	"2015/01"	32	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Feb., 2015"	"2015/02"	34	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Mar., 2015"	"2015/03"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Apr., 2015"	"2015/04"	23	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"May, 2015"	"2015/05"	41	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jun., 2015"	"2015/06"	25	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jul., 2015"	"2015/07"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Aug., 2015"	"2015/08"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Sep., 2015"	"2015/09"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Oct., 2015"	"2015/10"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Nov., 2015"	"2015/11"	32	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Dec., 2015"	"2015/12"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jan., 2016"	"2016/01"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Feb., 2016"	"2016/02"	34	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Mar., 2016"	"2016/03"	37	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Apr., 2016"	"2016/04"	34	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"May, 2016"	"2016/05"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jun., 2016"	"2016/06"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jul., 2016"	"2016/07"	33	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Aug., 2016"	"2016/08"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Sep., 2016"	"2016/09"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Oct., 2016"	"2016/10"	20	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Nov., 2016"	"2016/11"	23	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Dec., 2016"	"2016/12"	45	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jan., 2017"	"2017/01"	49	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Feb., 2017"	"2017/02"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Mar., 2017"	"2017/03"	32	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Apr., 2017"	"2017/04"	42	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"May, 2017"	"2017/05"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jun., 2017"	"2017/06"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Jul., 2017"	"2017/07"	34	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Aug., 2017"	"2017/08"	36	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Sep., 2017"	"2017/09"	24	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Oct., 2017"	"2017/10"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Nov., 2017"	"2017/11"	20	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"40-44 years"	"40-44"	"Dec., 2017"	"2017/12"	38	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jan., 2014"	"2014/01"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Feb., 2014"	"2014/02"	26	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Mar., 2014"	"2014/03"	22	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Apr., 2014"	"2014/04"	26	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"May, 2014"	"2014/05"	24	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jun., 2014"	"2014/06"	23	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jul., 2014"	"2014/07"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Aug., 2014"	"2014/08"	35	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Sep., 2014"	"2014/09"	16	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Oct., 2014"	"2014/10"	23	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Nov., 2014"	"2014/11"	25	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Dec., 2014"	"2014/12"	32	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jan., 2015"	"2015/01"	35	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Feb., 2015"	"2015/02"	26	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Mar., 2015"	"2015/03"	38	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Apr., 2015"	"2015/04"	34	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"May, 2015"	"2015/05"	18	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jun., 2015"	"2015/06"	32	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jul., 2015"	"2015/07"	32	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Aug., 2015"	"2015/08"	35	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Sep., 2015"	"2015/09"	23	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Oct., 2015"	"2015/10"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Nov., 2015"	"2015/11"	24	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Dec., 2015"	"2015/12"	36	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jan., 2016"	"2016/01"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Feb., 2016"	"2016/02"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Mar., 2016"	"2016/03"	34	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Apr., 2016"	"2016/04"	26	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"May, 2016"	"2016/05"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jun., 2016"	"2016/06"	46	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jul., 2016"	"2016/07"	30	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Aug., 2016"	"2016/08"	40	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Sep., 2016"	"2016/09"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Oct., 2016"	"2016/10"	25	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Nov., 2016"	"2016/11"	30	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Dec., 2016"	"2016/12"	33	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jan., 2017"	"2017/01"	38	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Feb., 2017"	"2017/02"	34	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Mar., 2017"	"2017/03"	44	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Apr., 2017"	"2017/04"	33	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"May, 2017"	"2017/05"	42	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jun., 2017"	"2017/06"	30	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Jul., 2017"	"2017/07"	36	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Aug., 2017"	"2017/08"	35	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Sep., 2017"	"2017/09"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Oct., 2017"	"2017/10"	29	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Nov., 2017"	"2017/11"	46	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"45-49 years"	"45-49"	"Dec., 2017"	"2017/12"	44	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"50-54 years"	"50-54"	"Jan., 2014"	"2014/01"	24	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"50-54 years"	"50-54"	"Feb., 2014"	"2014/02"	28	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"50-54 years"	"50-54"	"Mar., 2014"	"2014/03"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"50-54 years"	"50-54"	"Apr., 2014"	"2014/04"	23	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"50-54 years"	"50-54"	"May, 2014"	"2014/05"	20	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"50-54 years"	"50-54"	"Jun., 2014"	"2014/06"	30	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"50-54 years"	"50-54"	"Jul., 2014"	"2014/07"	23	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"50-54 years"	"50-54"	"Aug., 2014"	"2014/08"	31	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"50-54 years"	"50-54"	"Sep., 2014"	"2014/09"	27	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"50-54 years"	"50-54"	"Oct., 2014"	"2014/10"	26	Not Applicable	Not Applicable
