"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Mar., 2014"	"2014/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Apr., 2014"	"2014/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"May, 2014"	"2014/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jun., 2014"	"2014/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jul., 2014"	"2014/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Aug., 2014"	"2014/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Sep., 2014"	"2014/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Oct., 2014"	"2014/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Nov., 2014"	"2014/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Dec., 2014"	"2014/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jan., 2015"	"2015/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Feb., 2015"	"2015/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Mar., 2015"	"2015/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Apr., 2015"	"2015/04"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"May, 2015"	"2015/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jun., 2015"	"2015/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jul., 2015"	"2015/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Aug., 2015"	"2015/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Sep., 2015"	"2015/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Oct., 2015"	"2015/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Nov., 2015"	"2015/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Dec., 2015"	"2015/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jan., 2016"	"2016/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Feb., 2016"	"2016/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Mar., 2016"	"2016/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Apr., 2016"	"2016/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"May, 2016"	"2016/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jun., 2016"	"2016/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jul., 2016"	"2016/07"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Aug., 2016"	"2016/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Sep., 2016"	"2016/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Oct., 2016"	"2016/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Nov., 2016"	"2016/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Dec., 2016"	"2016/12"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jan., 2017"	"2017/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Feb., 2017"	"2017/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Mar., 2017"	"2017/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Apr., 2017"	"2017/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"May, 2017"	"2017/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jun., 2017"	"2017/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jul., 2017"	"2017/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Aug., 2017"	"2017/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Sep., 2017"	"2017/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Oct., 2017"	"2017/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Nov., 2017"	"2017/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Dec., 2017"	"2017/12"	0	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"			3	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jan., 2014"	"2014/01"	235	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Feb., 2014"	"2014/02"	245	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Mar., 2014"	"2014/03"	290	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Apr., 2014"	"2014/04"	257	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"May, 2014"	"2014/05"	290	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jun., 2014"	"2014/06"	294	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jul., 2014"	"2014/07"	287	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Aug., 2014"	"2014/08"	312	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Sep., 2014"	"2014/09"	301	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Oct., 2014"	"2014/10"	311	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Nov., 2014"	"2014/11"	324	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Dec., 2014"	"2014/12"	339	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jan., 2015"	"2015/01"	325	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Feb., 2015"	"2015/02"	354	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Mar., 2015"	"2015/03"	320	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Apr., 2015"	"2015/04"	347	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"May, 2015"	"2015/05"	311	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jun., 2015"	"2015/06"	296	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jul., 2015"	"2015/07"	319	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Aug., 2015"	"2015/08"	354	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Sep., 2015"	"2015/09"	300	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Oct., 2015"	"2015/10"	296	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Nov., 2015"	"2015/11"	294	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Dec., 2015"	"2015/12"	321	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jan., 2016"	"2016/01"	366	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Feb., 2016"	"2016/02"	404	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Mar., 2016"	"2016/03"	489	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Apr., 2016"	"2016/04"	445	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"May, 2016"	"2016/05"	426	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jun., 2016"	"2016/06"	400	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jul., 2016"	"2016/07"	431	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Aug., 2016"	"2016/08"	420	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Sep., 2016"	"2016/09"	486	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Oct., 2016"	"2016/10"	502	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Nov., 2016"	"2016/11"	488	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Dec., 2016"	"2016/12"	540	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jan., 2017"	"2017/01"	469	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Feb., 2017"	"2017/02"	440	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Mar., 2017"	"2017/03"	468	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Apr., 2017"	"2017/04"	436	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"May, 2017"	"2017/05"	434	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jun., 2017"	"2017/06"	403	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Jul., 2017"	"2017/07"	412	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Aug., 2017"	"2017/08"	433	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Sep., 2017"	"2017/09"	401	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Oct., 2017"	"2017/10"	413	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Nov., 2017"	"2017/11"	433	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Dec., 2017"	"2017/12"	454	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"			17915	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jan., 2014"	"2014/01"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Feb., 2014"	"2014/02"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Mar., 2014"	"2014/03"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Apr., 2014"	"2014/04"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"May, 2014"	"2014/05"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jun., 2014"	"2014/06"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jul., 2014"	"2014/07"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Aug., 2014"	"2014/08"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Sep., 2014"	"2014/09"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Oct., 2014"	"2014/10"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Nov., 2014"	"2014/11"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Dec., 2014"	"2014/12"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jan., 2015"	"2015/01"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Feb., 2015"	"2015/02"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Mar., 2015"	"2015/03"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Apr., 2015"	"2015/04"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"May, 2015"	"2015/05"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jun., 2015"	"2015/06"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jul., 2015"	"2015/07"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Aug., 2015"	"2015/08"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Sep., 2015"	"2015/09"	1	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Oct., 2015"	"2015/10"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Nov., 2015"	"2015/11"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Dec., 2015"	"2015/12"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jan., 2016"	"2016/01"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Feb., 2016"	"2016/02"	1	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Mar., 2016"	"2016/03"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Apr., 2016"	"2016/04"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"May, 2016"	"2016/05"	2	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jun., 2016"	"2016/06"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jul., 2016"	"2016/07"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Aug., 2016"	"2016/08"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Sep., 2016"	"2016/09"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Oct., 2016"	"2016/10"	1	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Nov., 2016"	"2016/11"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Dec., 2016"	"2016/12"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jan., 2017"	"2017/01"	1	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Feb., 2017"	"2017/02"	1	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Mar., 2017"	"2017/03"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Apr., 2017"	"2017/04"	1	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"May, 2017"	"2017/05"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jun., 2017"	"2017/06"	1	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Jul., 2017"	"2017/07"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Aug., 2017"	"2017/08"	2	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Sep., 2017"	"2017/09"	1	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Oct., 2017"	"2017/10"	1	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Nov., 2017"	"2017/11"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"Dec., 2017"	"2017/12"	0	Not Applicable	Not Applicable
"Total"	"Opium"	"T40.0"			13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jan., 2014"	"2014/01"	809	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Feb., 2014"	"2014/02"	784	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Mar., 2014"	"2014/03"	901	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Apr., 2014"	"2014/04"	767	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"May, 2014"	"2014/05"	898	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jun., 2014"	"2014/06"	862	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jul., 2014"	"2014/07"	932	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Aug., 2014"	"2014/08"	941	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Sep., 2014"	"2014/09"	919	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Oct., 2014"	"2014/10"	1028	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Nov., 2014"	"2014/11"	907	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Dec., 2014"	"2014/12"	1006	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jan., 2015"	"2015/01"	988	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Feb., 2015"	"2015/02"	989	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Mar., 2015"	"2015/03"	1076	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Apr., 2015"	"2015/04"	1073	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"May, 2015"	"2015/05"	1091	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jun., 2015"	"2015/06"	986	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jul., 2015"	"2015/07"	1107	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Aug., 2015"	"2015/08"	1148	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Sep., 2015"	"2015/09"	1244	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Oct., 2015"	"2015/10"	1193	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Nov., 2015"	"2015/11"	1183	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Dec., 2015"	"2015/12"	1072	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jan., 2016"	"2016/01"	1164	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Feb., 2016"	"2016/02"	1262	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Mar., 2016"	"2016/03"	1369	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Apr., 2016"	"2016/04"	1330	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"May, 2016"	"2016/05"	1250	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jun., 2016"	"2016/06"	1231	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jul., 2016"	"2016/07"	1392	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Aug., 2016"	"2016/08"	1330	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Sep., 2016"	"2016/09"	1301	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Oct., 2016"	"2016/10"	1256	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Nov., 2016"	"2016/11"	1343	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Dec., 2016"	"2016/12"	1489	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jan., 2017"	"2017/01"	1477	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Feb., 2017"	"2017/02"	1343	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Mar., 2017"	"2017/03"	1411	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Apr., 2017"	"2017/04"	1307	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"May, 2017"	"2017/05"	1378	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jun., 2017"	"2017/06"	1252	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Jul., 2017"	"2017/07"	1274	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Aug., 2017"	"2017/08"	1288	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Sep., 2017"	"2017/09"	1261	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Oct., 2017"	"2017/10"	1207	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Nov., 2017"	"2017/11"	1186	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Dec., 2017"	"2017/12"	1306	Not Applicable	Not Applicable
"Total"	"Heroin"	"T40.1"			55311	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jan., 2014"	"2014/01"	1105	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Feb., 2014"	"2014/02"	1091	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Mar., 2014"	"2014/03"	1133	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Apr., 2014"	"2014/04"	1007	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"May, 2014"	"2014/05"	1008	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jun., 2014"	"2014/06"	991	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jul., 2014"	"2014/07"	1068	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Aug., 2014"	"2014/08"	1055	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Sep., 2014"	"2014/09"	1030	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Oct., 2014"	"2014/10"	1052	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Nov., 2014"	"2014/11"	1092	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Dec., 2014"	"2014/12"	1025	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jan., 2015"	"2015/01"	1208	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Feb., 2015"	"2015/02"	1060	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Mar., 2015"	"2015/03"	1173	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Apr., 2015"	"2015/04"	1106	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"May, 2015"	"2015/05"	1126	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jun., 2015"	"2015/06"	1092	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jul., 2015"	"2015/07"	1076	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Aug., 2015"	"2015/08"	1146	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Sep., 2015"	"2015/09"	1103	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Oct., 2015"	"2015/10"	1119	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Nov., 2015"	"2015/11"	1043	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Dec., 2015"	"2015/12"	1042	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jan., 2016"	"2016/01"	1187	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Feb., 2016"	"2016/02"	1213	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Mar., 2016"	"2016/03"	1349	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Apr., 2016"	"2016/04"	1321	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"May, 2016"	"2016/05"	1231	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jun., 2016"	"2016/06"	1253	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jul., 2016"	"2016/07"	1255	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Aug., 2016"	"2016/08"	1278	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Sep., 2016"	"2016/09"	1193	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Oct., 2016"	"2016/10"	1264	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Nov., 2016"	"2016/11"	1258	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Dec., 2016"	"2016/12"	1312	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jan., 2017"	"2017/01"	1382	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Feb., 2017"	"2017/02"	1272	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Mar., 2017"	"2017/03"	1385	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Apr., 2017"	"2017/04"	1371	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"May, 2017"	"2017/05"	1369	Not Applicable	Not Applicable
